modelo;titulo_ml;seccion;colores;stock_real;stock_a_publicar;precio_desde;precio_hasta;revisar_precio;foto_url;lista_colores
LOS HAMPTON;Lentes De Sol Orbital Los Hampton Espejados Uv400;Sol;5;387;377;199000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/los-hampton.png;Blanco Brillo/ Habano Degrade | Negro Brillo / Gris Degrade | Negro Brillo/ Champagne | Negro Mate / Espejo Oro | Negro Mate / Habano Polarizado
RODAS;Lentes De Sol Orbital Rodas Proteccion Uv400;Ofertas;4;375;367;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/rodas.png;Azul Clear / Gris | Gris Clear / Gris | Habano Clear / Habano | Negro Brillo / Gris Degrade
ZETA 2;Lentes De Sol Orbital Zeta 2 Espejados Uv400;Sport;5;371;361;129000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/zeta-2.png;Negro Brillo / Gris | Negro Brillo / Gris Polarizado | Negro Mate / Espejo Plata | Negro Mate / Espejo Rosa | Negro Mate / Gris
ZETA 9;Lentes De Sol Orbital Zeta 9 Triple Proteccion;Sport;7;353;339;129000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/zeta-9.png;Bordo Mate / Ocre Flash | Negro Mate / Espejo Rojo | Negro Mate / Gris | Negro Mate / Gris Polarizado | Negro Mate/ Espejo Cel Polarizado | Negro Mate/ Espejo Rojo Pol | Rosa Clear / Rosa Flash
ALASKA CAP;Lentes De Sol Orbital Alaska Cap Espejados Uv400;Ofertas;3;343;337;79000;199000;SI;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/alaska-cap.jpg;Negro Mate / Espejo Celeste | Negro Mate / Espejo Rosa | Negro Mate / Gris
5TH AVENUE;Lentes De Sol Orbital 5th Avenue Proteccion Uv400;Sol;10;327;307;184000;230000;SI;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/ChatGPT_Image_21_jul_2026_03_33_27_p.m..png;AzOscCl Celeste | Caramelo Degrade Habano | Caramelo Degrade Incoloro antireflex | Gr Cl Ce Flash | Gris Cl Incoloro antireflex | Ha Had Flash | Ma Habano | Marrón/ Incoloro AR | Ngb Gris | ngb Incoloro antireflex
FILADELFIA;Lentes De Sol Orbital Filadelfia Triple Proteccion;Triple proteccion;8;323;307;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/filadelfia.png;Amarillo Mate / Ocre Flash | Bordo / Bordo | Bordo Mate / Con Lentilla | Celeste / Celeste Flash | Gris Clear / Habano Flash | Habano / Habano Flash | Naranja / Habano Flash | Verde Clear/ Verde Degrade Flash
VELOCITY;Lentes De Sol Orbital Velocity Polarizados Uv400;Sport;5;315;305;89000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/velocity.png;Azul Mate / Habano | Negro Brillo / Gris Polarizado | Negro Mate / Espejo Celeste | Negro Mate / Espejo Rojo | Negro Mate / Gris Polarizado
MALTA;Lentes De Sol Orbital Malta Proteccion Uv400;Ofertas;5;314;304;89000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/malta.jpg;Negro Brillo / Gris | Negro Brillo / Gris Degrade | Negro Mate / Espejo Rosa | Negro Mate / Gris | Negro Mate / Habano Polarizado
SIGNATURE;Lentes De Sol Orbital Signature Espejados Uv400;Sport;6;305;293;89000;129000;SI;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/signature.png;Azul Mate / Habano Polarizado | Habano Clear Habano / Con Lentilla | Negro Brillo/ Gris Polarizado | Negro Mate / Espejo Celeste | Negro Mate / Espejo Naranja | Negro Mate / Espejo Rojo
